forecast_timestamp,team,group,spi,global_o,global_d,sim_wins,sim_ties,sim_losses,sim_goal_diff,goals_scored,goals_against,group_1,group_2,group_3,group_4,make_round_of_16,make_quarters,make_semis,make_final,win_league,timestamp
2018-06-10 17:36:39 UTC,Brazil,E,92.81522,3.10876,0.30493,2.0248,0.63266,0.34254,4.04483,6.04549,2.00066,0.67564,0.2184,0.08291,0.02305,0.89404,0.65871,0.46291,0.30835,0.19259,2018-06-10 17:42:03 UTC
2018-06-10 17:36:39 UTC,Spain,B,91.30254,3.21114,0.46145,1.90567,0.67013,0.4242,3.52194,5.73107,2.20913,0.60657,0.26126,0.09883,0.03334,0.86783,0.70556,0.47535,0.2899,0.17486,2018-06-10 17:42:03 UTC
2018-06-10 17:36:39 UTC,Germany,F,90.61094,3.23346,0.52224,2.05956,0.57317,0.36727,4.36945,6.82064,2.45119,0.68292,0.2123,0.08279,0.02199,0.89522,0.58603,0.39949,0.23557,0.13305,2018-06-10 17:42:03 UTC
2018-06-10 17:36:39 UTC,France,C,87.17682,2.88582,0.56975,1.90986,0.63823,0.45191,3.65002,6.33439,2.68437,0.61025,0.24509,0.10739,0.03727,0.85534,0.53285,0.3115,0.15725,0.07884,2018-06-10 17:42:03 UTC
2018-06-10 17:36:39 UTC,Argentina,D,87.41192,2.58581,0.39899,1.60352,0.82229,0.57419,2.22487,4.68779,2.46292,0.4797,0.28915,0.15456,0.07659,0.76885,0.49485,0.26548,0.13841,0.07004,2018-06-10 17:42:03 UTC
2018-06-10 17:36:39 UTC,Belgium,G,85.40682,2.81096,0.63262,1.86493,0.62705,0.50802,3.4892,6.02091,2.53171,0.49955,0.3714,0.10064,0.02841,0.87095,0.5864,0.27298,0.14032,0.06613,2018-06-10 17:42:03 UTC
2018-06-10 17:36:39 UTC,England,G,83.72824,2.34392,0.45752,1.76783,0.71267,0.5195,2.85787,5.11615,2.25828,0.43839,0.41026,0.11734,0.03401,0.84865,0.57501,0.27141,0.13954,0.06535,2018-06-10 17:42:03 UTC
2018-06-10 17:36:39 UTC,Portugal,B,83.46619,2.40348,0.50431,1.36327,0.83786,0.79887,1.12869,4.06002,2.93133,0.27963,0.40523,0.2186,0.09654,0.68486,0.46394,0.25357,0.12211,0.05532,2018-06-10 17:42:03 UTC
2018-06-10 17:36:39 UTC,Croatia,D,80.38099,2.28947,0.58512,1.31289,0.85741,0.8297,1.04557,4.11161,3.06604,0.31877,0.3237,0.22183,0.1357,0.64247,0.3485,0.16137,0.07114,0.03005,2018-06-10 17:42:03 UTC
2018-06-10 17:36:39 UTC,Colombia,H,80.52894,2.1824,0.51246,1.42086,0.87723,0.70191,1.48243,4.25621,2.77378,0.4054,0.28219,0.19253,0.11988,0.68759,0.32028,0.12797,0.05394,0.02128,2018-06-10 17:42:03 UTC
